dataset,ctgan,qualsynth,smote,tabfairgdt
breast_cancer,0.9541799393755424,0.9575531593920351,0.9569243508734699,0.9482228385321155
german_credit,0.5737141263666098,0.5663406703872443,0.5738138519194901,0.5692619084648844
haberman,0.41538455634246424,0.4089851819270014,0.400044438096083,0.40770080298222877
htru2,0.8653599220696886,0.8751037566958939,0.851690279327823,0.7718525188030035
pima_diabetes,0.6538669122624906,0.6561978110546219,0.6720221736104196,0.6637460254248781
thyroid,0.24863400918816891,0.22464379443593824,0.18529224160134855,0.1805879662471055
wine_quality,0.5112992102734532,0.5410885495941594,0.5821412132521051,0.5838622330159828
yeast,0.33348857875507576,0.36635363988978165,0.3462324332951923,0.3309432178065731
