dataset,ctgan,qualsynth,smote,tabfairgdt
breast_cancer,0.9645907005065923,0.9659248066258002,0.9672575426552802,0.9620202582279769
german_credit,0.6872113742091859,0.6819470468827024,0.6879447431052225,0.6816630651725634
haberman,0.5754936456070124,0.5703391009808543,0.5652343321177423,0.5705008495909093
htru2,0.9129818207402444,0.9322340969658212,0.9371877545089469,0.9336488825767694
pima_diabetes,0.7280816958157883,0.7309702582190334,0.7441598947702578,0.7375430420152276
thyroid,0.3239059244491124,0.261425017331154,0.2525226812027545,0.28938116270787795
wine_quality,0.6727657840394495,0.6885661592689514,0.7666987710116813,0.7642629687747131
yeast,0.693823572691422,0.75343763853099,0.7354324203954109,0.687622046904092
